ID,NAME OF THE DAM,OTHER NAME,DECIMAL DEGREE LATITUDE,DECIMAL DEGREE LONGITUDE,HEIGHT,LENGTH,RESERVOIR CAPACITY,RESERVOIR AREA,RESERVOIR NAME,RIVER,INTERNATIONAL,YEAR OF COMPLETION,FLOOD CONTROL,IRRIGATION,HYDROELECTRICITY,NAVIGATION,RECREATION,WATER SUPPLY,OTHER USE,COUNTRY,NEAREST TOWN,STATE / PROVINCE,NOTE
3.0063,BURATI,,-29.22294,-51.43445,14,,3.2,,,Burati,,,,,,,,,,Brazil,Farroupilha,Rio Grande do Sul,
3.0064,CACHOEIRA,,-23.050642,-46.31986689,40,,116.6,,,Cachoeira,,,,,,,,,,Brazil,Piracaia,São Paulo,
3.0065,CACHOEIRA,,-12.491394,-60.47173297,30,,,0.9,,Ávila,,,,,,,,,,Brazil,Vilhena,Rondônia,
3.0066,CACHOEIRA DO CACHIMBO ALTO,,-11.925894,-62.14707627,21,,32.02,,,Branco,,,,,,,,,,Brazil,Alta Floresta D'Oeste,Rondônia,
3.0067,CACHOEIRA DOS MACADOS,,0.85226089,-51.29411604,10,,0.24,,,Araguari,,,,,,,,,,Brazil,Sacramento/Perdizes,Minas Gerais,
3.0068,CACHOEIRA DOURADA,,-18.503245,-49.48463589,26,2838,519,56.5,,Paranaíba,,1993,,,X,,,,,Brazil,Cachoeira Dourada,Goiás,
3.0069,CACHOEIRA I,,-8.0672428,-37.22223167,18,,5.95,,,Grande,,,,,,,,,,Brazil,Sertânia,Pernambuco,
3.007,CACHOEIRA II,,-7.9741688,-38.32244482,30,116,21.031,0.004,,Cachoeira,,1965,,,,,,,,Brazil,Serra Talhada,Pernambuco,
3.0071,CACIMBA DA VÁRZEA,,-6.6901413,-35.78000074,26,,9.264,,,Curimataú,,,,,,,,,,Brazil,Solânea,Paraíba,
3.0072,CACONDE,GRAMINHA,-21.576485,-46.62384043,60,,555,0.031,,Pardo,,,,,X,,,,,Brazil,Caconde,São Paulo,
3.0073,CAÇU,,-18.529389,-51.14560347,38,920,231.77,0.017,,Claro,,2010,,,X,,,,,Brazil,Caçu/Cachoeira Alta,Goiás,
3.0074,CAIÇARAS,MARCELINO VIEIRA,-6.3247592,-38.1769196,20,,8.292,,,Apodi,,,,,,,,,,Brazil,Marcelino Vieira,Rio Grande do Norte,
3.0075,CAJAZEIRAS II,,-6.8918,-40.6322,22,,24.7,,,Parnaíba,,,,,,,,,,Brazil,Pio IX,Piauí,
3.0076,CAJURU,,-20.238067,-44.75471963,22,345,192,0.003,,Pará,,1959,,,,,,,,Brazil,Carmo do Cajuru/Divinópolis,Minas Gerais,
3.0077,CALDEIRÃO,,-4.3331699,-41.72527052,22,75,54.6,0.01,,Parnaíba,,1945,,,,,,,,Brazil,Piripiri,Piauí,
3.0078,CALDEIRÃO PARELHAS,,-6.7036132,-36.68898436,,,10.196,0.002,,,,,,,,,,,,Brazil,Parelhas,Rio Grande do Norte,
3.0079,CALHAUZINHO,,-16.94042,-42.0152703,36,,32,,,Calhauzinho,,,,,,,,,,Brazil,Araçuaí,Minas Gerais,
3.008,CAMARGOS,,-21.325992,-44.61539059,36,608,792,0.076,,Grande,,1960,,,X,,,,,Brazil,Itutinga/Nazareno,Minas Gerais,
3.0081,CAMPO MAIOR,,-4.836226,-42.16851635,,,,,,,,,,,,,,,,Brazil,Campo Maior,Piauí,
3.0082,CAMPOS NOVOS,,-27.601127,-51.33160287,196,592,1477,0.035,,Canoas,,2007,,,X,,,,,Brazil,Campos Novos/Celso Ramos,Santa Catarina,
3.0083,CANA BRAVA,,-13.402403,-48.14323324,68,1100,2300,0.139,,Tocantins,,2002,,,X,,,,,Brazil,Cavalcante/Minaçu,Tocantins,
3.0084,CANASTRA,,-29.3939,-50.7476,26,,0.242,0.05,,Santa Maria,,,,,X,,,,,Brazil,Canela,Rio Grande do Sul,
3.0085,CANDONGA,RISOLETA NEVES,-20.20751,-42.855,53,,54.44,0.003,,Doce,,,,,X,,,,,Brazil,Santa Cruz do Escalvado/Rio Doce,Minas Gerais,
3.0086,CANOA QUEBRADA,,-12.794086,-56.00903129,,,66.4,,,Verde,,,,,,,,,,Brazil,Sorriso/Lucas do Rio Verde,Mato Grosso,
3.0087,CANOAS,RIACHO SAO MIGUEL,-6.9464,-39.9414,50,,46,,,,,,,,,,,,,Brazil,Assare,Ceará,
3.0088,CANOAS I,,-22.942856,-50.51802835,29,820,215,0.031,,Paranapanema,,1999,,,X,,,,,Brazil,Itambaracá/Cândido Mota,Paraná/São Paulo,
3.0089,CANOAS II,,-22.937014,-50.2505928,25,670,149,0.023,,Paranapanema,,1999,,,X,,,,,Brazil,Andirá/Palmital,Paraná,
3.009,CANTU 2,,-24.74802,-52.46871,39,,31,,,,,,,,,,,,,Brazil,Nova Cantu/Laranjal,Paraná,
3.0091,CAPIGUI,,-28.351018,-52.21416594,22,223,42,4.8,,Capigui,,1950,,,,,,,,Brazil,Marau/Passo Fundo,Rio Grande do Sul,
3.0092,CAPIM BRANCO I,AMADOR AGUIAR I,-18.789898,-48.14767208,55,610,241.65,0.019,,Araguari,,2006,,,X,,,,,Brazil,Uberlândia/Araguari,Minas Gerais,
3.0093,CAPIM BRANCO II,AMADOR AGUIAR II,-18.6609,-48.4363,55,1000,872.83,0.046,,Araguari,,2007,,,X,,,,,Brazil,Araguari/Uberlândia,Minas Gerais,
3.0094,CAPIVARA,,-22.66137,-51.35890532,60,1650,10540,0.576,Iepe,Paranapanema,,1977,,,X,,,,,Brazil,Porecatu/Taciba,Paraná/São Paulo,
3.0095,CAPIVARI,,-25.138444,-48.87426564,25,255,178.1,8.5,,Capivari,,1970,,,,,,,,Brazil,São Martinho/São Bonifácio,Santa Catarina,
3.0096,CARAIBINHAS,,-9.485018,-36.682255,11,,0.72,,,Doce,,,,,,,,,,Brazil,Palmeira dos Índios,Alagoas,
3.0097,CARANGUEJA,,-9.3032,-36.4778,18,,8,,,Paraíba,,,,,,,,,,Brazil,Quebrangulo,Alagoas,
3.0098,CARÃO,,-4.8164439,-40.36262485,20,,23,0.003,,Acaraú,,,,,,,,,,Brazil,Tamboril,Ceará,
3.0099,CARPINA,,-7.8932646,-35.33884366,42,1750,270,10.1,,Capibaribe,,1978,,,,,,,,Brazil,Carpina,Pernambuco,
3.01,CASA NOVA,,-9.17971,-40.99141,18,,162,,,Riacho do Algodão,,,,,,,,,,Brazil,Casinhas,Pernambuco,
3.0101,CASTANHÃO,,-5.4906,-38.4509,85,,6700,,,Jaguaribe,,,,,,,,,,Brazil,Alto Santo/Jaguaribara,Ceará,
3.0102,CASTRO ALVES,,-29.00552,-51.38391,48,,126.72,0.005,,das Antas,,,,,X,,,,,Brazil,Nova Pádua/Nova Roma do Sul,Rio Grande do Sul,
3.0103,CAVEIRAS,,-27.815328,-50.48047653,12,192,42,0.015,,Caveiras,,1940,,,X,,,,,Brazil,Lages,Santa Catarina,
3.0104,CAXITORÉ,,-3.7423369,-39.35514542,37,425,202,0.046,,Curu,,1962,,,,,,,,Brazil,Pentecoste/Umirim,Ceará,
3.0105,CEDRO,,-4.9755225,-39.05791814,20,415,125.69,0.018,,Jaguaribe,,1906,,,,,,,,Brazil,Quixadá,Ceará,
3.0106,CEDROS I,,-26.615387,-49.40349493,15,,18.5,,,Cedros,,,,,,,,,,Brazil,Rio dos Cedros,Santa Catarina,
3.0107,CEDROS II,,-26.6447,-49.3567,17,,18.3,,,Cedros,,,,,,,,,,Brazil,Rio dos Cedros,Santa Catarina,
3.0108,CELSO RAMOS,,-26.75917,-52.25766,16,,1.171,,,Chapecozinho,,,,,,,,,,Brazil,Ouro Verde/Faxinal dos Guedes,Santa Catarina,
3.0109,CERAIMA,,-14.28401,-42.6817276,44,444,58,0.003,,CarnaÍba de Dentro,,1966,,,,,,,,Brazil,Guanambi,Bahia,
3.011,CERRO CORA,ELOY DE SOUZA,-6.0420663,-36.34642774,,,,,,,,,,,,,,,,Brazil,Cerro Corá,Rio Grande do Norte,
3.0111,CHAMPRÃO,,-14.90855,-41.9628125,20,,5.982,,,Condeúba,,,,,,,,,,Brazil,Condeúba,Bahia,
3.0112,CHAPEU D' UVAS,,-21.582678,-43.52715719,43,400,146,26.6,,Paraibuna,,2005,,,,,,,,Brazil,Juiz de Fora,Minas Gerais,
3.0113,CHAVANTES,,-23.12904,-49.73196181,98,500,8795,0.398,Itarare,Paranapanema,,1970,,,X,,,,,Brazil,Chavantes/Ribeirão Claro,São Paulo/Paraná,
3.0114,CHORÓ,CHORÓ (POMPEU SOBRINHO),-4.8381855,-39.1410112,31,235,143,0.021,,Choró,,1934,,,,,,,,Brazil,Quixadá,Ceará,
3.0115,CHUPINGUAIA (VILHENA - RO),CHUPINGUAIA,-12.5859,-60.9306,,,143,,,,,,,,,,,,,Brazil,Vilhena,Rondônia,
3.0116,CIPOADA,,-5.261209,-38.64545629,21,,86.09,0.015,,Santa Rosa-Cipoada,,,,,,,,,,Brazil,Morada Nova,Ceará,
3.0117,COARACY NUNES,,0.90219,-51.2604,36,,138,0.024,,Araguari,,,,,X,,,,,Brazil,Ferreira Gomes,Amapá,
3.0118,COCOROBÓ,,-9.8819266,-39.03945778,34,1320,245.37,0.024,,Vaza Barris,,1967,,,,,,,,Brazil,Canudos,Bahia,
3.0119,CODORNA,,-20.165605,-43.89018027,28,,16.12,,,Marinhos,,,,,,,,,,Brazil,Nova Lima,Minas Gerais,
3.012,COLINO 2,VEREDA,-17.0724,-40.1059,26,,21.8,,,Colino,,,,,,,,,,Brazil,Vereda/Jucuruçu,Bahia,
3.0121,CONGO,,-7.8134,-36.6782,,,,,,,,,,,,,,,,Brazil,Congo,Paraíba,
3.0122,CORUMBÁ,,-17.988617,-48.53066599,90,540,1500,0.065,,Corumbá,,1997,,,,,,,,Brazil,Caldas Novas/Corumbaíba,Goiás,
3.0123,CORUMBÁ III,,-16.786432,-47.93914241,54,800,972.1,0.073,,Corumbá,,2009,,,X,,,,,Brazil,Luziânia,Goiás,
3.0124,CORUMBÁ IV,,-16.325247,-48.18724879,67,1290,3679.8,0.173,,Corumbá,,2006,,,X,,,,,Brazil,Luziânia/Silvânia,Goiás,
3.0125,COVA DA MANDIOCA,,-14.767586,-42.7954934,35,360,73.9,7.1,,Cova do Mandioca,,1994,,,,,,,,Brazil,Urandi,Bahia,
3.0126,CRUZ DE SALINAS,,-8.8422393,-40.6013928,15,,4.021,,,Ranchinho,,,,,,,,,,Brazil,Petrolina,Pernambuco,
3.0127,CRUZETA,,-6.4110774,-36.79523559,20,,29.75,0.005,,Piranhas,,,,,,,,,,Brazil,Cruzeta,Rio Grande do Norte,
3.0128,CUREMA - MÃE D'ÁGUA,DOUTOR ESTEVÃO MARINHO,-7.023298,-37.94801326,82,,1358,0.048,,Piranhas,,,,,,,,,,Brazil,Coremas,Paraíba,
3.0129,CURIMATAU,,-6.7122679,-36.03627786,15,,5.989,,,Curimataú,,,,,,,,,,Brazil,Barra de Santa Rosa,Paraíba,
3.013,CURRAL VELHO,,-5.0847841,-38.30478811,,,12.2,3.3,,Curral Velho,,,,,,,,,,Brazil,Morada Nova,Ceará,
3.0131,CURUÁ-UNA,,-2.8195319,-54.29902752,26,600,472,0.078,,Curuá-Una,,1976,,,X,,,,,Brazil,Santarém,Pará,
3.0132,CUSTODIA,,-8.076035,-37.597189,,,21.623,2.9,,,,,,,,,,,,Brazil,Custódia,Pernambuco,
3.0133,DERIVAÇÃO DO RIO JORDÃO,,-25.75792,-52.08692958,95,560,110,0.034,,Jordão,,1996,,,,,,,,Brazil,Reserva do Iguaçu/Foz do Jordão,Paraná,
3.0134,DESCOBERTO,,-15.7784,-48.23184,33,248,120,12.1,,Descoberto,,1972,,,,,,,,Brazil,Águas Lindas de Goiás/Brasília,Distrito Federal,
3.0135,DIACAL,,-11.740782,-46.7532942,,,0.017,,,,,,,,,,,,,Brazil,Dianópolis,Tocantins,
3.0136,DIANÓPOLIS,,-11.54332,-46.9890436,,,120,,,Manoel Alvinho,,,,,,,,,,Brazil,Dianópolis,Tocantins,
3.0137,DIVISA,,-29.2991,-50.56994,25,,11.4,,,Divisa,,,,,,,,,,Brazil,São Francisco de Paula,Rio Grande do Sul,
3.0138,DONA FRANCISCA,,-29.450623,-53.28511405,50,610,335,0.019,,Jacuí,,2001,,,X,,,,,Brazil,Nova Palma/Agudo,Rio Grande do Sul,
3.0139,DONA INÊS,,-6.6062189,-35.6231099,,,,,,,,,,,,,,,,Brazil,Bananeira,Paraíba,
3.014,DOURADO,,-6.2467699,-36.50931184,27,,10.322,0.004,,Piranhas,,,,,,,,,,Brazil,Currais Novos,Rio Grande do Norte,
3.0141,DOUTOR ESTEVÃO MARINHO,COREMAS,-7.023298,-37.94801326,,,,,,,,,,,,,,,,Brazil,Coremas,Paraíba,
3.0142,DUAS UNAS,,-8.0917924,-35.03735411,19,,23.4,2,,Duas Unas,,,,,,,,,,Brazil,Jaboatão,Pernambuco,
3.0143,EDGARD DE SOUZA,,-23.45398,-46.90910982,,,,,,,,,,,,,,,,Brazil,Santana do Parnaíba,São Paulo,
3.0144,EMA,,-5.7783152,-38.3462295,19,,10.395,,,Jaguaribe,,,,,,,,,,Brazil,Iracema,Ceará,
3.0145,EMBORCAÇÃO,USINA HIDRELÉTRICA THEODOMIRO SANTIAGO,-18.44704,-47.98639378,158,1520,17588,0.473,,Paranaíba,,1982,X,,X,,,,,Brazil,Araguari/Catalão,Minas Gerais/Goiás,
3.0146,ENGENHEIRO ARCO VERDE,,-6.9075373,-37.58639956,23,,36.835,0.442,,Piranhas,,,,,,,,,,Brazil,Condado,Paraíba,
3.0147,ENGENHEIRO ÁVIDOS,,-6.9860783,-38.45334895,45,,255,18.5,,Piranhas,,,,,,,,,,Brazil,Cajazeiras,Paraíba,
3.0148,ENGENHEIRO CAMACHO,TAMBORIL II,-7.8965124,-40.14926684,,,27.665,0.007,,,,,,,,,,,,Brazil,Ouricuri,Pernambuco,
3.0149,ENGENHEIRO JOSÉ BATISTA REGO PEREIRA,POÇO BRANCO - TAIPU,-5.6340303,-35.6546694,45,,180,,,Ceará Mirim,,,,,,,,,,Brazil,Poço Branco,Rio Grande do Norte,
3.015,ENGENHEIRO SEVERINO GUERRA,,-8.3106486,-36.424313,,,17.777,0.215,,,,,,,,,,,,Brazil,Belo Jardim,Pernambuco,
3.0151,ENTREMONTES,,-8.2295562,-39.89691244,30,368,339.334,0.047,,São Pedro,,1982,,,,,,,,Brazil,Parnamirim,Pernambuco,
3.0152,ERNESTINA,,-28.555769,-52.54520133,13,400,258,0.04,,Jacuí,,1954,,,,,,,,Brazil,Tio Hugo/Ibirapuitã,Rio Grande do Sul,
3.0153,ESCONDIDO I,,-6.1890507,-37.54151845,13,,16.579,,,Porcos,,,,,,,,,,Brazil,Belém do Brejo do Cruz,Paraíba,
3.0154,ESPORA,,-18.67863,-51.86669,,,244.2,30.7,,Corrente,,,,,X,,,,,Brazil,Aporé/Itarumã,Goiás,
3.0155,ESTREITO,LUIZ CARLOS BARRETO DE CARVALHO,-20.152543,-47.27921728,92,535,1609,0.047,,Grande,,1969,,,X,,,,,Brazil,Pedregulho/Sacramento,São Paulo/Minas Gerais,
3.0156,ESTREITO,,-6.5895986,-47.46360461,40,848,5400,0.59,,Tocantins,,2011,,,X,,,,,Brazil,Palmeiras do Tocantins/Estreito/Aguiarnópolis,Tocantins/Maranhão,
3.0157,ESTREITO II,,-14.828828,-42.80849211,26,1091,75.864,0.117,,Verde Pequeno,,1961,,,,,,,,Brazil,Espinosa/Urandi,Minas Gerais/Bahia,
3.0158,EUCLIDES DA CUNHA,,-21.60318,-46.94876,60,,18.045,0.002,,Pardo,,,,,X,,,,,Brazil,São José do Rio Pardo,São Paulo,
3.0159,FARIAS DE SOUZA,,-4.7671,-40.5836,17,,12.253,0.228,,Acaraú,,,,,,,,,,Brazil,Nova Russas,Ceará,
3.016,FAVELAS,,-5.9846,-40.1228,18,,30.1,0.007,,Jaguaribe,,,,,,,,,,Brazil,Tauá,Ceará,
3.0161,FERREIRA GOMES,,0.85511,-51.19699,,,137.31,,,Araguari,,,,,,,,,,Brazil,Ferreira Gomes,Amapá,
3.0162,FIGUEIRÓPOLIS,,-15.391548,-58.63764692,16,,34.936,,,Jauru,,,,,,,,,,Brazil,Indiavaí/Figueirópolis D'Oeste,Mato Grosso,
3.0163,FIU,,-23.749,-50.94071,,,,,,,,,,,,,,,,Brazil,Londrina,Paraná,
3.0164,FLECHAS,,-6.3044,-38.2497,12,,8.95,,,Flechas,,,,,,,,,,Brazil,José da Penha,Rio Grande do Norte,
3.0165,FLOR DO SERTÃO,,-26.78823,-53.39445,,,,,,,,,,,,,,,,Brazil,Descanso/Flor do Sertão,Santa Catarina,
3.0166,FOGAREIRO,ANTONIO F. ANTERO,-5.16593,-39.48994,,,118.82,0.025,,,,,,,,,,,,Brazil,Quixeramobim,Ceará,
3.0167,FONTES NOVA,RIBEIRAO DAS LAJES,-22.702725,-43.88132376,63,,467.3,31.3,,Piraí,,,,,X,,,,,Brazil,Piraí,Rio de Janeiro,
3.0168,FORQUILHA,,-3.796328,-40.25466209,24,269,50.13,,,Acaraú,,1921,,,,,,,,Brazil,Forquilha,Ceará,
3.0169,FOZ DO AREIA,GOVERNADOR BENTO MUNHOZ DA ROCHA NETTO,-26.00875,-51.667083,160,850,6100,0.142,,Iguaçu,,1980,,,X,,,,,Brazil,Bituruna/Pinhão,Paraná,
3.017,FOZ DO CHAPECÓ,,-27.1403,-53.0432,47,548,1502,0.08,,Uruguai,,2010,,,X,,,,,Brazil,Águas de Chapecó/Alpestre,Santa Cararina/Rio Grande do Sul,
3.0171,FOZ DO RIO CLARO (ENGº JOSÉ LUIZ MULLER DE GODOY PEREIRA),FOZ DO RIO CLARO,-19.11714,-50.64489,,,,,,,,,,,,,,,,Brazil,Caçu/São Simão,Goiás,
3.0172,FRANCA,PONTE ALTA - FRANÇA,-23.940939,-47.19480802,48,206,135,,,Juquiá,,1958,,,,,,,,Brazil,Juquitiba,São Paulo,
3.0173,FRANCA,,-11.558055,-40.60285759,,,135,0.005,,,,,,,,,,,,Brazil,Piritiba/Miguel Calmon,Bahia,
3.0174,FRANÇA,PONTE ALTA - FRANCA,-23.940939,-47.19480802,,,,,,,,,,,,,,,,Brazil,Tapiraí/Juquitiba,São Paulo,
3.0175,FRANCISCO SABOIA,POÇO DA CRUZ,-8.5088648,-37.70481797,,,,,,,,,,,,,,,,Brazil,Ibimirim,Pernambuco,
3.0176,FRIOS,,-3.6899,-39.2957,21,,33.025,0.007,,Curu,,,,,,,,,,Brazil,Umirim,Ceará,
3.0177,FUMAÇA,,-20.452838,-43.27278806,54,151,900,0.012,,Gualaxo do Sul,,1963,,,X,,,,,Brazil,Diogo de Vasconcelos/Mariana,Minas Gerais,
3.0178,FUNDÃO,,-25.7035,-52.0022,42,,34.49,0.003,,Jordão,,,,,X,,,,,Brazil,Pinhão/Foz do Jordão,Paraná,
3.0179,FUNIL,,-22.528677,-44.56811293,85,385,890,0.039,,Paraíba do Sul,,1969,,,X,,,,,Brazil,Itatiaia/Resende,Rio de Janeiro,
3.018,FUNIL,,-21.14484,-45.03611469,50,420,258.4,0.034,,Grande,,2002,,,X,,,,,Brazil,Lavras/Perdões,Minas Gerais,
3.0181,FUNIL,,-14.228515,-39.46279475,48,293,46.4,0.005,,de Contas,,1962,,,X,,,,X,Brazil,Ubaitaba/Ibirapitanga,Bahia,
3.0182,FURNAS,,-20.667714,-46.31441447,127,233,22950,1.44,,Grande,,1963,,,X,,,,X,Brazil,São José da Barra/São João Batista do Glória,Minas Gerais,
3.0183,GENERAL SAMPAIO,,-4.062476,-39.45466668,38,222,322.2,0.033,,Curu,,1935,,,,,,,,Brazil,General Sampaio,Ceará,
3.0184,GOITÁ,,-7.9697,-35.1157,38,,52,3.6,,Goitá,,,,,,,,,,Brazil,Paudalho/São Lourenço da Mata,Pernambuco,
3.0185,GRAMINHA,CACONDE,-21.576485,-46.62384043,60,640,,0.038,,Pardo,,1966,,,X,,,,,Brazil,Caconde,São Paulo,
3.0186,GRAVATÁ,,-8.9952,-37.6831,21,,8.37,,,São Francisco,,,,,,,,,,Brazil,Mata Grande,Alagoas,
3.0187,GUAPORÉ,,-15.1247,-58.9621,,,31.1,5.1,,Guaporé,,2003,,,X,,,,,Brazil,Pontes e Lacerda/Vale de São Domingos,Mato Grosso,
3.0188,GUARAPIRANGA,,-23.666024,-46.72424841,16,1500,194,23.6,,Guarapiranga,,1977,,,,,,,,Brazil,São Paulo,São Paulo,
3.0189,GUARICANA,,-25.71506,-48.97302,30,,6.84,,,Arraial,,,,,,,,,,Brazil,São José dos Pinhais/Morretes,Paraná,
3.019,GUILMAN AMORIN,,-19.708102,-42.96052493,32,,11.5,0.001,,Piracicaba,,,,,X,,,,,Brazil,Nova Era/Antônio Dias,Minas Gerais,
3.0191,HARMONIA,,-24.31068,-50.59768,18,,5.3,,,Harmonia,,,,,,,,,,Brazil,Telêmaco Borba,Paraná,
3.0192,HENRY BORDEN,,-23.867275,-46.45968386,,,1165.9,127.5,,Pedras,,,,,X,,,,,Brazil,Cubatão,São Paulo,
3.0193,IBIRITÉ (SARZEDO),,-20.02481,-44.11875,25,,20,,,Ibirité,,,,,,,,,,Brazil,Ibirité,Minas Gerais,
3.0194,IBITINGA,,-21.759297,-48.99137024,32,1555,985,0.114,,Tietê,,1969,,,X,,,,,Brazil,Iacanga/Ibitinga,São Paulo,
3.0195,IGARAPAVA,,-19.988971,-47.75610267,32,1040,234.5,3.651,,Grande,,1999,,,X,,,,,Brazil,Igarapava/Conquista,São Paulo/Minas Gerais,
3.0196,IGUAPE,,-14.74558,-39.08292873,12,,6,,,Iguape,,,,,,,,,,Brazil,Ilhéus,Bahia,
3.0197,ILHA DOS POMBOS,,-21.843953,-42.57932957,19,,9,0.35,,Paraíba do Sul,,,,,X,,,,,Brazil,Além Paraíba/Carmo,Minas Gerais/Rio de Janeiro,
3.0198,ILHA SOLTEIRA,,-20.375306,-51.37945986,74,6185,22273,1.195,Repressa de Jupia,Paraná,,1973,,,X,X,,,,Brazil,Selvíria/Ilha Solteira,Mato Grosso/São Paulo,
3.0199,INGAZEIRAS,,-8.1372292,-41.16341606,21,,25.72,0.58,,Parnaíba,,,,,,,,,,Brazil,Paulistana,Piauí,
3.02,INHARÉ,,-6.1945697,-36.02116553,23,,17.6,,,Inharé,,,,,,,,,,Brazil,Santa Cruz,Rio Grande do Norte,
3.0201,IPITANGA,,-12.897555,-38.38317295,19,190,4,0.3,,Ipitanga,,1935,,,,,,,,Brazil,Salvador,Bahia,
3.0202,IRAPÉ,PRESIDENTE JUSCELINO KUBITSCHEK,-16.737714,-42.574775,209,551,5964,0.137,,Jequitinhonha,,2005,,,X,,,,,Brazil,Berilo/Grão Mogol,Minas Gerais,
3.0203,IRARA,,-18.067723,-51.168674,42,,36.3,,,Doce,,,,,,,,,,Brazil,Rio Verde/Jataí,Goiás,
3.0204,ISAMU IKEDA,,-10.698708,-47.79437883,25,332,82,1,,Balsas,,1985,,,,,,,,Brazil,Monte do Carmo/Ponte Alta do Tocantins,Tocantins,
3.0205,ITÁ,,-27.277529,-52.38176875,125,880,5100,0.141,,Uruguai,,2000,,,X,,,,,Brazil,Aratiba/Itá,Rio Grande do Sul/Santa Catarina,
3.0206,ITAIPU,,-25.408754,-54.58938401,196,,14500,1.35,,Paraná,,1991,,,X,,,,,Brazil,Foz do Iguaçu/Hernandarias,Paraná/Alto Paraná,
3.0207,ITANS,,-6.4913071,-37.06687611,26,1318,81.75,0.014,,Piranhas,,1935,,,,,,,,Brazil,Caicó,Rio Grande do Norte,
3.0208,ITAPARICA,LUIZ GONZAGA,-9.146737,-38.31170189,105,4731,10782,0.828,,São Francisco,,1988,,X,X,,,,,Brazil,Glória/Petrolândia,Bahia/Pernambuco,
3.0209,ITAPEBI,,-15.968525,-39.59125,120,,1633.56,0.062,,Jequitinhonha,,2003,,,X,,,,,Brazil,Itapebi,Bahia,
3.021,ITAÚBA,,-29.260546,-53.23626633,97,385,600,0.138,,Jacuí,,1978,,,X,,,,,Brazil,Pinhal Grande/Salto do Jacuí,Rio Grande do Sul,
3.0211,ITUMBIARA,,-18.407263,-49.09784522,110,6800,17027,0.778,,Paranaíba,,1980,,,X,,,,,Brazil,Araporã/Itumbiara,Minas Gerais/Goiás,
3.0212,ITUPARARANGA,,-23.611919,-47.39712111,38,460,355.5,22,,Sorocaba,,1914,,,X,,,,,Brazil,Votorantim,São Paulo,
3.0213,ITUTINGA,,-21.291277,-44.62249694,23,,11.4,2,,Grande,,,,,X,,,,,Brazil,Nazareno/Itutinga,Minas Gerais,
3.0214,JABURU II,,-5.4155074,-40.4794875,16,,127.65,0.03,,Jaburu,,,,,,,,,,Brazil,Independência,Ceará,
3.0215,JACARÉ,,-19.002808,-42.94677941,38,,12.51,,,,,,,,,,,,,Brazil,Senhora do Porto/Dores de Guanhães,Minas Gerais,
3.0216,JACAREI,,-22.951655,-46.44557661,63,1200,890,0.045,,Jacareí,,1981,,,X,,,,X,Brazil,Vargem/Bragança Paulista,São Paulo,
3.0217,JACUI,JOSÉ MAIA FILHO,-29.073402,-53.20911951,25,,34.498,0.005,,Jacuí,,,,,X,,,,,Brazil,Salto do Jacuí,Rio Grande do Sul,
3.0218,JACURICI,AÇUDE ENGENHEIRO RÔMULO CAMPOS,-10.653438,-39.72368333,28,1600,146.819,0.02,,Jacurici,,1958,,,,,,,,Brazil,Cansanção/Itiúba,Bahia,
3.0219,JAGUARA,,-20.024872,-47.43319411,55,325,420,3.3,,Grande,,1971,,,X,,,,,Brazil,Sacramento/Rifaina,Minas Gerais/São Paulo,
3.022,JAGUARI,,-23.195322,-46.0275963,77,435,1399,0.056,,Jaguari,,1971,,,X,,,X,,Brazil,São José dos Campos/Jacareí,São Paulo,
3.0221,JAGUARI DIQUE,,-23.193013,-46.02116019,60,,,,,,,,,,,,,,,Brazil,,,
3.0222,JAGUARI I,,-22.74038,-46.93732,24,,101.583,,,Jaguari,,,,,,,,,,Brazil,Campinas/Pedreira,São Paulo,
3.0223,JAGUARI II,,-22.924544,-46.42564167,47,,97.5,,,Jaguari,,,,,,,,,,Brazil,Bragança Paulista,São Paulo,
3.0224,JAIBARAS,AIRES DE SOUZA,-3.7798731,-40.49796267,29,358,104.4,0.012,,Acaraú,,1936,,,,,,,,Brazil,Cariré/Sobral,Ceará,
3.0225,JAPI II,,-6.3452847,-35.79458472,26,,20.65,,,Jacu,,,,,,,,,,Brazil,São José do Campestre,Rio Grande do Norte,
3.0226,JARAMATAIA,,-9.6805,-36.9757,26,,19.01,,,São Francisco,,,,,,,,,,Brazil,Jaramataia,Alagoas,
3.0227,JARARACA,,-28.937333,-51.46568333,10,,3.53,,,Turvo,,,,,,,,,,Brazil,Nova Roma do Sul/Veranópolis,Rio Grande do Sul,
3.0228,JATOBA II,,-7.7181,-37.9905,22,,4.429,,,Piranhas,,,,,,,,,,Brazil,Princesa Isabel,Paraíba,
3.0229,JAURU,,-15.2373,-58.7294,38,,16.97,0.004,,Jauru,,,,,X,,,,,Brazil,Jauru/Indiavaí,Mato Grosso,
3.023,JAZIGO,,-7.9998,-38.2418,20,,15.513,2.2,,Pajeú,,,,,,,,,,Brazil,Serra Talhada,Pernambuco,
3.0231,JENIPAPEIRO II,,-5.812654,-39.246923,18,,17,0.003,,Jenipapeiro,,,,,,,,,,Brazil,Deputado Irapuan Pinheiro,Ceará,
3.0232,JEQUITAI,,-17.251487,-44.46971747,80,580,12,0.5,,Jequitaí,,1981,,,,,,,,Brazil,Jequitaí,Minas Gerais,
