ID,NAME OF THE DAM,OTHER NAME,DECIMAL DEGREE LATITUDE,DECIMAL DEGREE LONGITUDE,HEIGHT,LENGTH,RESERVOIR CAPACITY,RESERVOIR AREA,RESERVOIR NAME,RIVER,INTERNATIONAL,YEAR OF COMPLETION,FLOOD CONTROL,IRRIGATION,HYDROELECTRICITY,NAVIGATION,RECREATION,WATER SUPPLY,OTHER USE,COUNTRY,NEAREST TOWN,STATE / PROVINCE,NOTE
2.0012,CHALLHUA MAYU,,-19.297519,-64.739117,13.2,,1.5,17.4,,Río Saigua,,2006,,X,,,,,,Bolivia,Incahuasi,,
2.0013,CHALLHUA MAYU,,-17.781144,-65.892714,16,260,1.5,0.00594,,Challhua Mayu,,2007,,X,,,,,,Bolivia,Incahuasi,Chuquisaca,
2.0014,CHANKAS,,-17.241111,-66.21083333,12,,1.037,0.00445,,Q. Jhochi Khuchu,,1962,,X,,,,,,Bolivia,Tiquipaya,,
2.0015,CHIARA QHOCHI,,-17.818487,-65.733552,27,86,0.78,0.0079,,Chiara Qhochi,,,,X,,,,,,Bolivia,Sacabamba,Cochabamba,
2.0016,CHOQO LAGUNA,,-17.638121,-65.014109,16,127,1.44,0.00166,,Palca,,2001,,X,,,,,,Bolivia,Pojo,Cochabamba,
2.0017,CHUA LOMA,,-17.663182,-65.899556,20,113,0.47,0.0176,,Tarquiparu,,2004,,X,,,,,,Bolivia,Toco,Cochabamba,
2.0018,CONCEPCIÓN,,-16.132426,-62.042976,14,,11.86,116,,Zapocos,,1986,,,,,,X,,Bolivia,Concepción,,
2.0019,CORANI,,-17.227462,-65.893378,34,736,150,15,,Corani,,1965,,,X,,,,,Bolivia,Colomi,Cochabamba,
2.002,ESCALERANI,,-17.185833,-66.20916667,30,152,6,0.51,,Misicuni,,1982,,,,,,X,,Bolivia,Tiquipaya,Cochabamba,
2.0021,ESCANA,,-19.247996,-65.105154,34,118,2.8,26.08,,Pulqui,,,,X,,,,,,Bolivia,Yamparáez,Chuquisaca,
2.0022,GUAPOMÓ,,-16.357817,-60.96391632,8.5,,8.415,192,,Qda. Mercedes,,1977,,,,,,X,,Bolivia,San Ignacio,,
2.0023,HAMPATURI,,-16.416379,-68.02059089,17,,3.1745,25.86,,Karpani,,,,,,,,X,,Bolivia,La Paz,,
2.0024,LA HONDURA,,-21.381576,-64.784971,24,,1.71,7.73,,Pajchani,,2008,,,,,X,,,Bolivia,San Lorenzo,,
2.0025,HUALLATANI ,,-17.017166,-67.347101,7,,2.5,,,Monte Blanco,,1953,,X,,,,,,Bolivia,Malla,La Paz,
2.0026,HUAYCAYA,,-19.799123,-65.64205682,4,,3.8,1.02,,Punta Mayu,,1700,,X,,,,,,Bolivia,Caiza D 2,,
2.0027,INCACHACA,,-16.406111,-68.04833333,23.5,,4.56,9.11,,Incachaca,,,,,,,,X,,Bolivia,La Paz,,
2.0028,KASPICANCHA,,-17.348448,-65.685565,19,192,0.473,0.0076,,Sallu Mayu,,2010,,X,,,,,,Bolivia,Tiraque,Cochabamba,
2.0029,KEVIÑA QHOCHA,,-17.42388,-65.60429405,17,86,2,0.00272,,Lope Mendoza,,1994,,X,,,,,,Bolivia,Tiraque,Cochabamba,
2.003,KHARA KHOTA,,-16.176666,-68.38064267,8,,14,16.88,,Pauchintani,,,,X,,,,,,Bolivia,Batallas,,
2.0031,KOARI QHOCHA,,-17.437181,-65.610035,13,,1.5,0.00157,,Lope Mendoza,,1994,,X,,,,,,Bolivia,Tiraque,,
2.0032,LACACHAKA,,-19.684372,-65.7078649,10,,1.9,11.16,,Lacachaka,,1570,,,,,,X,,Bolivia,Potosi,,
2.0033,LAGUN MAYU,,-17.266111,-66.165,7,,2.5,0.0049,,Lagun Mayu,,,,X,,,,,,Bolivia,Tiquipaya,,
2.0034,LAGUNA ROBADA,,-17.337332,-65.79531146,19,368,1.2,0.15,,Pucara,,1968,,X,,,,,,Bolivia,Colomi,Cochabamba,
2.0035,LAHUACHAMA,,-17.566338,-65.206276,24,210,3.54,0.01324,,Cueva Mayu,,2003,,X,,,,,,Bolivia,Totora,Cochabamba,
2.0036,LAKA LAKA,,-17.623811,-66.052543,32,140,2.6,0.058,,Calicanto,,,,X,,,,,,Bolivia,Tarata,Cochabamba,
2.0037,LARATI,,-17.346365,-66.01688566,4,,4.5,0.01012,,Pajcha Mayu,,,,X,,,,,,Bolivia,Sacaba 1,Cochabamba,
2.0038,LLUSKA QHOCHA,,-17.424558,-65.627502,9,,1.25,0.00298,,Talpasale,,1994,,X,,,,,,Bolivia,Tiraque,,
2.0039,MARI MARINI,,-16.41838,-67.89570513,4,,1.1015,3.1,,Q. Mari Marini,,,,,X,,,,,Bolivia,Yanacachi,,
